Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
VAAL_Entropy,VAAL,Entropy,49.0,61.0,63.0,73.0,68.0,69.0,73.0,72.0,78.0,75.0,82.0
VAAL_Entropy,VAAL,Entropy,49.0,51.0,71.0,76.0,74.0,74.0,72.0,75.0,73.0,81.0,82.0
VAAL_Entropy,VAAL,Entropy,49.0,56.99999999999999,56.00000000000001,51.0,57.99999999999999,56.99999999999999,60.0,75.0,73.0,75.0,77.0
VAAL_Entropy,VAAL,Entropy,49.0,56.99999999999999,60.0,62.0,59.0,61.0,70.0,76.0,76.0,81.0,82.0
Coreset_Entropy,Coreset,Entropy,66.0,64.0,67.0,63.0,68.0,67.0,75.0,79.0,80.0,83.0,86.0
Coreset_Entropy,Coreset,Entropy,66.0,71.0,70.0,76.0,77.0,72.0,77.0,80.0,82.0,86.0,83.0
Coreset_Entropy,Coreset,Entropy,66.0,70.0,78.0,83.0,88.0,86.0,84.0,83.0,83.0,87.0,86.0
Coreset_Entropy,Coreset,Entropy,66.0,69.0,70.0,70.0,73.0,77.0,83.0,85.0,84.0,80.0,88.0
Coreset_Entropy,Coreset,Entropy,66.0,69.0,70.0,67.0,79.0,76.0,82.0,84.0,82.0,78.0,82.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80.0,85.0,83.0,85.0,84.0,86.0,85.0,83.0,85.0,87.0,89.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80.0,82.0,83.0,88.0,87.0,88.0,89.0,88.0,84.0,87.0,90.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80.0,84.0,84.0,86.0,84.0,86.0,86.0,88.0,90.0,88.0,87.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80.0,80.0,80.0,81.0,84.0,85.0,85.0,84.0,84.0,85.0,87.0
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,80.0,85.0,78.0,82.0,84.0,82.0,82.0,87.0,85.0,83.0,89.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,66.0,73.0,74.0,77.0,79.0,82.0,83.0,83.0,87.0,88.0,87.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,66.0,74.0,75.0,87.0,81.0,85.0,88.0,88.0,87.0,89.0,88.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,66.0,66.0,66.0,85.0,85.0,86.0,87.0,86.0,84.0,86.0,85.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,66.0,64.0,71.0,80.0,82.0,80.0,86.0,85.0,82.0,81.0,86.0
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,66.0,72.0,76.0,78.0,84.0,83.0,89.0,88.0,89.0,88.0,87.0
Easy-to-Learn_Margin,Easy-to-Learn,Margin,41.0,40.0,41.0,41.0,41.0,64.0,54.0,70.0,75.0,81.0,82.0
