Method,Init_Method,AL_Method,Episode,run1,run2,run3,run4,run5
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,60,84.0,86.0,89.0,90.0,89.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,70,82.0,88.0,91.0,91.0,92.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,80,87.0,89.0,86.0,89.0,92.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,90,84.0,92.0,88.0,90.0,91.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,100,84.0,90.0,88.0,88.0,92.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,110,87.0,90.0,89.0,88.0,93.0
Hard-to-Contrast_BALD,Hard-to-Contrast,BALD,120,88.0,89.0,90.0,88.0,92.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,20,69.0,69.0,69.0,69.0,69.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,30,69.0,70.0,71.0,74.0,73.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,40,81.0,78.0,73.0,78.0,81.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,50,67.0,80.0,81.0,77.0,82.0
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,60,74.0,82.0,80.0,78.0,87.0
