Method,Init_Method,AL_Method,Episode,TestAccuracy
Entropy_Random,Entropy,Random,90,72.32
Entropy_Random,Entropy,Random,100,73.17
Entropy_Random,Entropy,Random,110,72.17
Margin_Random,Margin,Random,10,28.85
Margin_Random,Margin,Random,20,49.14
Margin_Random,Margin,Random,30,61.94
Margin_Random,Margin,Random,40,63.84
Margin_Random,Margin,Random,50,64.54
Margin_Random,Margin,Random,60,71.38
Margin_Random,Margin,Random,70,70.51
Margin_Random,Margin,Random,80,71.59
Margin_Random,Margin,Random,90,74.28
Margin_Random,Margin,Random,100,76.26
Margin_Random,Margin,Random,110,76.47
Margin_Random,Margin,Random,10,28.85
Margin_Random,Margin,Random,20,51.71
Margin_Random,Margin,Random,30,61.62
Margin_Random,Margin,Random,40,67.06
Margin_Random,Margin,Random,50,69.04
Margin_Random,Margin,Random,60,70.24
Margin_Random,Margin,Random,70,68.72
Margin_Random,Margin,Random,80,74.54
Margin_Random,Margin,Random,90,74.98
Margin_Random,Margin,Random,100,76.41
Margin_Random,Margin,Random,110,75.53
Margin_Random,Margin,Random,10,28.85
Margin_Random,Margin,Random,20,48.17
Margin_Random,Margin,Random,30,61.39
Margin_Random,Margin,Random,40,63.2
Margin_Random,Margin,Random,50,67.0
Margin_Random,Margin,Random,60,70.01
Margin_Random,Margin,Random,70,72.03
Margin_Random,Margin,Random,80,71.38
Margin_Random,Margin,Random,90,73.49
Margin_Random,Margin,Random,100,74.51
Margin_Random,Margin,Random,110,77.29
Margin_Random,Margin,Random,10,28.85
Margin_Random,Margin,Random,20,54.14
Margin_Random,Margin,Random,30,58.4
Margin_Random,Margin,Random,40,67.47
Margin_Random,Margin,Random,50,69.1
Margin_Random,Margin,Random,60,68.05
Margin_Random,Margin,Random,70,70.97
Margin_Random,Margin,Random,80,74.1
Margin_Random,Margin,Random,90,74.95
Margin_Random,Margin,Random,100,75.86
Margin_Random,Margin,Random,110,77.55
Margin_Random,Margin,Random,10,28.85
Margin_Random,Margin,Random,20,49.75
Margin_Random,Margin,Random,30,53.46
Margin_Random,Margin,Random,40,63.67
Margin_Random,Margin,Random,50,63.14
Margin_Random,Margin,Random,60,64.25
Margin_Random,Margin,Random,70,68.49
Margin_Random,Margin,Random,80,72.35
Margin_Random,Margin,Random,90,75.53
Margin_Random,Margin,Random,100,74.25
Margin_Random,Margin,Random,110,77.11
BALD_Random,BALD,Random,10,28.12
BALD_Random,BALD,Random,20,43.47
BALD_Random,BALD,Random,30,55.45
BALD_Random,BALD,Random,40,54.63
BALD_Random,BALD,Random,50,62.41
BALD_Random,BALD,Random,60,70.13
BALD_Random,BALD,Random,70,70.53
BALD_Random,BALD,Random,80,71.76
BALD_Random,BALD,Random,90,72.64
BALD_Random,BALD,Random,100,73.34
BALD_Random,BALD,Random,110,74.6
BALD_Random,BALD,Random,10,28.12
BALD_Random,BALD,Random,20,45.89
BALD_Random,BALD,Random,30,59.63
BALD_Random,BALD,Random,40,62.2
BALD_Random,BALD,Random,50,64.6
BALD_Random,BALD,Random,60,71.79
BALD_Random,BALD,Random,70,73.6
BALD_Random,BALD,Random,80,75.01
BALD_Random,BALD,Random,90,76.88
BALD_Random,BALD,Random,100,76.15
BALD_Random,BALD,Random,110,79.51
BALD_Random,BALD,Random,10,28.12
BALD_Random,BALD,Random,20,25.99
BALD_Random,BALD,Random,30,57.06
BALD_Random,BALD,Random,40,62.23
BALD_Random,BALD,Random,50,68.23
BALD_Random,BALD,Random,60,69.54
BALD_Random,BALD,Random,70,71.97
BALD_Random,BALD,Random,80,76.0
BALD_Random,BALD,Random,90,75.88
BALD_Random,BALD,Random,100,77.78
BALD_Random,BALD,Random,110,76.76
BALD_Random,BALD,Random,10,28.12
BALD_Random,BALD,Random,20,49.37
BALD_Random,BALD,Random,30,63.87
BALD_Random,BALD,Random,40,67.11
BALD_Random,BALD,Random,50,68.78
BALD_Random,BALD,Random,60,70.68
BALD_Random,BALD,Random,70,72.87
BALD_Random,BALD,Random,80,73.87
BALD_Random,BALD,Random,90,76.62
BALD_Random,BALD,Random,100,75.59
BALD_Random,BALD,Random,110,78.02
BALD_Random,BALD,Random,10,28.12
BALD_Random,BALD,Random,20,50.66
BALD_Random,BALD,Random,30,58.29
BALD_Random,BALD,Random,40,58.9
BALD_Random,BALD,Random,50,67.93
BALD_Random,BALD,Random,60,70.74
BALD_Random,BALD,Random,70,70.04
BALD_Random,BALD,Random,80,74.28
BALD_Random,BALD,Random,90,74.71
BALD_Random,BALD,Random,100,77.02
BALD_Random,BALD,Random,110,76.97
VAAL_Random,VAAL,Random,10,13.74
VAAL_Random,VAAL,Random,20,44.81
VAAL_Random,VAAL,Random,30,48.73
VAAL_Random,VAAL,Random,40,52.35
VAAL_Random,VAAL,Random,50,54.17
VAAL_Random,VAAL,Random,60,62.35
VAAL_Random,VAAL,Random,70,67.99
VAAL_Random,VAAL,Random,80,68.78
VAAL_Random,VAAL,Random,90,71.18
VAAL_Random,VAAL,Random,100,70.33
VAAL_Random,VAAL,Random,110,72.93
VAAL_Random,VAAL,Random,10,13.74
VAAL_Random,VAAL,Random,20,39.52
VAAL_Random,VAAL,Random,30,44.23
VAAL_Random,VAAL,Random,40,54.4
VAAL_Random,VAAL,Random,50,56.3
VAAL_Random,VAAL,Random,60,67.03
VAAL_Random,VAAL,Random,70,67.44
VAAL_Random,VAAL,Random,80,69.92
VAAL_Random,VAAL,Random,90,71.65
VAAL_Random,VAAL,Random,100,75.27
VAAL_Random,VAAL,Random,110,74.16
VAAL_Random,VAAL,Random,10,13.74
VAAL_Random,VAAL,Random,20,40.69
VAAL_Random,VAAL,Random,30,53.41
VAAL_Random,VAAL,Random,40,56.77
VAAL_Random,VAAL,Random,50,66.27
VAAL_Random,VAAL,Random,60,64.69
VAAL_Random,VAAL,Random,70,67.47
VAAL_Random,VAAL,Random,80,71.0
VAAL_Random,VAAL,Random,90,72.14
VAAL_Random,VAAL,Random,100,74.16
VAAL_Random,VAAL,Random,110,74.98
VAAL_Random,VAAL,Random,10,13.74
VAAL_Random,VAAL,Random,20,42.24
VAAL_Random,VAAL,Random,30,52.59
VAAL_Random,VAAL,Random,40,60.57
VAAL_Random,VAAL,Random,50,61.62
VAAL_Random,VAAL,Random,60,62.03
VAAL_Random,VAAL,Random,70,63.9
VAAL_Random,VAAL,Random,80,68.2
VAAL_Random,VAAL,Random,90,69.37
VAAL_Random,VAAL,Random,100,71.65
VAAL_Random,VAAL,Random,110,73.43
VAAL_Random,VAAL,Random,10,13.74
VAAL_Random,VAAL,Random,20,36.19
VAAL_Random,VAAL,Random,30,40.49
VAAL_Random,VAAL,Random,40,53.87
VAAL_Random,VAAL,Random,50,62.5
VAAL_Random,VAAL,Random,60,63.49
VAAL_Random,VAAL,Random,70,62.88
VAAL_Random,VAAL,Random,80,65.33
VAAL_Random,VAAL,Random,90,67.38
VAAL_Random,VAAL,Random,100,67.29
VAAL_Random,VAAL,Random,110,68.63
Coreset_Random,Coreset,Random,10,36.6
Coreset_Random,Coreset,Random,20,52.24
Coreset_Random,Coreset,Random,30,60.25
Coreset_Random,Coreset,Random,40,60.42
Coreset_Random,Coreset,Random,50,67.67
Coreset_Random,Coreset,Random,60,70.48
Coreset_Random,Coreset,Random,70,72.43
Coreset_Random,Coreset,Random,80,74.71
Coreset_Random,Coreset,Random,90,74.95
Coreset_Random,Coreset,Random,100,76.91
Coreset_Random,Coreset,Random,110,78.19
Coreset_Random,Coreset,Random,10,36.6
Coreset_Random,Coreset,Random,20,58.11
Coreset_Random,Coreset,Random,30,67.47
