Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Entropy_Entropy,Entropy,Entropy,4.92,6.89,23.47,29.04,41.38,42.3,44.39,52.34,52.87,54.43,52.73
Entropy_Entropy,Entropy,Entropy,4.92,7.05,23.87,29.01,32.09,30.47,40.29,39.6,41.62,46.98,48.19
Entropy_Entropy,Entropy,Entropy,4.92,9.53,18.43,17.44,22.1,25.43,26.42,32.09,30.35,33.97,37.13
Entropy_Entropy,Entropy,Entropy,4.92,9.65,11.1,12.03,20.15,19.39,26.43,30.28,29.9,31.16,25.65
Margin_Entropy,Margin,Entropy,32.6,36.09,35.04,35.01,40.24,39.76,37.73,41.52,38.22,40.18,36.82
Margin_Entropy,Margin,Entropy,32.6,43.9,39.72,40.45,41.67,41.75,41.45,37.42,37.65,48.55,40.53
Margin_Entropy,Margin,Entropy,32.6,32.08,33.44,38.04,39.74,38.4,34.43,41.09,44.9,47.17,47.74
Margin_Entropy,Margin,Entropy,32.6,37.6,43.52,44.79,46.09,43.31,44.07,48.44,45.96,49.67,50.89
Margin_Entropy,Margin,Entropy,32.6,41.98,39.48,35.96,34.12,43.72,47.62,52.34,57.86,56.2,62.33
BALD_Entropy,BALD,Entropy,5.31,18.93,19.86,18.5,20.22,19.81,26.59,23.15,22.3,26.23,29.6
BALD_Entropy,BALD,Entropy,5.31,14.75,16.56,15.07,15.75,21.73,22.02,23.66,25.17,23.47,26.41
BALD_Entropy,BALD,Entropy,5.31,7.86,16.04,19.76,17.42,19.64,22.72,23.77,22.52,24.46,23.86
BALD_Entropy,BALD,Entropy,5.31,11.25,14.35,20.38,20.18,23.86,29.36,32.21,29.04,35.35,41.32
BALD_Entropy,BALD,Entropy,5.31,11.59,16.87,18.01,18.64,21.77,26.48,23.64,30.5,30.47,33.04
VAAL_Entropy,VAAL,Entropy,11.8,26.56,29.93,37.38,30.89,29.94,38.12,43.01,55.43,44.05,49.9
VAAL_Entropy,VAAL,Entropy,11.8,22.51,24.44,29.29,27.98,27.16,32.84,29.09,37.79,39.18,43.45
VAAL_Entropy,VAAL,Entropy,11.8,13.37,44.28,44.99,45.0,44.6,40.26,48.75,49.16,55.54,55.18
VAAL_Entropy,VAAL,Entropy,11.8,15.45,27.99,30.26,33.82,39.0,40.43,52.69,48.79,51.77,50.54
VAAL_Entropy,VAAL,Entropy,11.8,22.52,23.3,26.56,25.43,27.41,33.73,39.67,44.3,51.14,57.14
Coreset_Entropy,Coreset,Entropy,24.3,28.62,37.24,38.15,42.06,40.17,43.76,46.77,51.38,57.48,54.44
Coreset_Entropy,Coreset,Entropy,24.3,30.64,31.0,35.47,42.99,41.89,42.84,47.84,47.8,59.14,59.14
Coreset_Entropy,Coreset,Entropy,24.3,33.22,47.38,55.78,62.34,64.37,58.58,53.77,55.11,57.05,56.02
Coreset_Entropy,Coreset,Entropy,24.3,30.68,31.66,41.09,42.55,42.9,54.55,56.88,50.43,49.85,58.4
Coreset_Entropy,Coreset,Entropy,24.3,32.88,34.68,38.02,46.91,40.43,49.16,48.37,51.03,47.31,52.01
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,38.59,51.04,48.52,47.2,54.21,54.55,51.07,54.62,53.83,57.47,56.5
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,38.59,48.02,49.79,55.67,52.66,55.63,61.99,57.72,62.38,59.11,63.18
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,38.59,39.11,45.13,51.59,48.75,58.52,61.92,65.26,64.32,61.7,62.53
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,38.59,44.74,42.79,49.61,51.95,48.47,50.86,50.4,50.75,53.77,53.2
Hard-to-Contrast_Margin,Hard-to-Contrast,Margin,38.59,43.91,41.59,47.47,55.52,57.67,58.73,56.84,55.15,55.22,58.69
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,15.84,38.18,47.17,43.27,49.28,46.66,46.73,51.16,51.92,62.02,59.74
Easy-to-Contrast_Margin,Easy-to-Contrast,Margin,15.84,32.28,54.82,63.41,57.13,53.15,63.76,67.19,62.06,62.8,60.49
