Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Consistency_BALD,Consistency,BALD,35.45,42.64,47.3,48.63,51.65,50.41,52.91,53.76,53.77,56.23,58.71
Consistency_BALD,Consistency,BALD,35.45,41.93,44.64,49.29,52.2,52.76,54.69,53.28,57.27,58.66,59.26
Consistency_BALD,Consistency,BALD,35.45,44.34,46.32,43.5,49.74,51.15,53.18,53.04,55.88,57.42,56.9
Consistency_BALD,Consistency,BALD,35.45,46.25,55.25,53.51,55.24,58.82,65.15,64.38,62.63,64.9,66.3
Entropy_BALD,Entropy,BALD,27.12,24.82,28.82,33.64,37.09,42.02,45.38,55.48,59.73,60.09,61.84
Entropy_BALD,Entropy,BALD,27.12,29.74,26.38,34.32,37.86,40.33,52.86,54.09,52.37,58.11,57.6
Entropy_BALD,Entropy,BALD,27.12,23.61,29.73,38.83,44.12,50.15,51.27,54.25,57.28,59.49,59.44
Entropy_BALD,Entropy,BALD,27.12,28.25,36.4,37.86,40.75,47.2,44.83,52.32,50.26,51.54,53.75
Entropy_BALD,Entropy,BALD,27.12,25.14,21.7,31.22,34.64,33.24,38.26,42.24,46.72,54.42,55.43
Margin_BALD,Margin,BALD,26.26,37.13,33.55,36.62,41.31,48.73,50.36,55.71,57.84,62.43,63.4
Margin_BALD,Margin,BALD,26.26,35.35,33.68,39.77,53.35,52.96,50.26,53.58,55.8,61.51,61.62
Margin_BALD,Margin,BALD,26.26,27.59,33.73,40.38,43.98,51.1,53.67,55.3,55.04,58.82,61.41
Margin_BALD,Margin,BALD,26.26,29.47,35.84,37.18,46.93,48.78,46.63,54.02,51.59,59.47,56.61
Margin_BALD,Margin,BALD,26.26,23.66,30.16,40.29,40.87,43.0,46.78,51.84,52.94,53.86,55.22
BALD_BALD,BALD,BALD,25.33,22.48,26.68,30.11,37.21,49.13,53.79,52.44,53.55,59.2,58.95
BALD_BALD,BALD,BALD,25.33,22.87,33.22,34.87,36.69,37.22,38.12,45.53,50.2,53.21,56.64
BALD_BALD,BALD,BALD,25.33,25.77,31.99,34.93,43.35,42.5,44.38,47.13,45.95,53.44,55.2
BALD_BALD,BALD,BALD,25.33,23.69,30.05,31.19,42.99,47.6,50.39,52.92,55.01,60.92,58.29
BALD_BALD,BALD,BALD,25.33,20.83,29.95,36.52,37.36,47.06,48.39,45.51,47.87,47.83,56.04
VAAL_BALD,VAAL,BALD,4.46,25.87,26.5,36.82,43.44,43.34,42.59,46.91,50.04,53.73,53.84
VAAL_BALD,VAAL,BALD,4.46,19.9,25.88,26.25,36.42,40.68,36.48,42.38,45.0,48.46,54.68
VAAL_BALD,VAAL,BALD,4.46,32.5,37.87,40.1,44.23,46.83,48.86,46.2,49.97,52.69,55.56
VAAL_BALD,VAAL,BALD,4.46,35.72,37.16,37.36,44.89,46.82,47.36,48.04,46.41,49.58,52.33
VAAL_BALD,VAAL,BALD,4.46,31.54,47.22,50.08,50.93,49.43,49.87,53.32,53.09,56.78,60.96
Coreset_BALD,Coreset,BALD,24.06,38.62,38.19,43.1,47.04,50.05,51.11,55.33,54.78,58.54,61.36
Coreset_BALD,Coreset,BALD,24.06,32.62,39.16,45.36,44.31,46.01,49.55,49.71,55.28,57.94,58.11
Coreset_BALD,Coreset,BALD,24.06,22.12,31.83,37.84,44.48,47.07,50.67,52.44,53.54,55.33,56.04
Coreset_BALD,Coreset,BALD,24.06,29.64,38.78,37.14,43.47,43.86,45.98,51.02,52.32,54.57,56.6
Coreset_BALD,Coreset,BALD,24.06,27.04,26.61,32.01,39.73,44.12,45.62,52.7,52.09,52.28,55.45
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40.8,42.9,56.41,56.51,57.75,59.61,60.43,63.36,64.18,66.18,67.27
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40.8,45.6,50.37,54.84,54.07,56.05,58.22,64.42,63.36,65.09,66.55
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40.8,47.88,56.1,57.14,56.73,62.11,62.21,63.14,66.62,66.45,67.15
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40.8,44.48,51.11,58.03,56.04,62.4,62.79,62.1,65.41,63.95,65.64
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,40.8,49.3,52.23,56.53,60.51,61.09,58.82,61.63,64.11,64.62,66.61
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,27.63,42.55,39.09,50.91,53.26,55.9,58.23,57.84,60.9,61.08,61.83
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,27.63,34.62,40.12,47.87,53.38,54.74,58.27,60.12,61.29,61.4,63.98
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,27.63,44.58,50.04,53.64,57.28,58.84,61.5,62.66,64.88,63.42,64.3
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,27.63,35.27,43.19,48.85,51.14,53.23,55.21,50.97,58.95,58.47,60.84
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,27.63,34.72,40.58,50.84,51.41,52.65,54.8,58.07,60.17,60.95,62.62
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.48,38.55,42.2,46.52,47.11,49.11,51.99,53.67,55.81,56.49,56.05
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.48,36.35,41.34,47.97,53.24,55.51,56.39,56.68,60.83,60.36,63.69
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.48,39.19,37.84,39.68,51.57,52.71,54.93,57.21,58.43,59.25,61.94
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.48,39.6,38.72,40.33,47.73,51.27,54.2,58.0,57.91,59.73,58.36
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,18.48,38.44,43.58,48.22,51.62,50.64,53.71,55.62,59.85,62.76,62.09
Consistency_Coreset,Consistency,Coreset,35.45,44.57,48.91,53.27,60.4,57.69,61.83,62.94,65.77,66.0,67.2
Consistency_Coreset,Consistency,Coreset,35.45,51.78,53.34,51.87,56.62,55.91,58.53,64.21,64.55,65.13,67.62
Consistency_Coreset,Consistency,Coreset,35.45,45.72,48.46,53.09,51.38,56.68,58.84,58.35,62.03,62.38,62.74
Consistency_Coreset,Consistency,Coreset,35.45,43.36,49.34,53.12,56.52,59.85,61.51,63.59,63.24,64.16,65.56
Consistency_Coreset,Consistency,Coreset,35.45,40.06,48.85,56.84,56.7,59.87,60.03,64.37,63.13,63.76,63.05
Entropy_Coreset,Entropy,Coreset,27.12,43.96,38.55,46.83,48.36,52.04,56.76,58.25,58.84,60.36,63.39
Entropy_Coreset,Entropy,Coreset,27.12,34.7,38.75,44.91,49.45,53.46,57.32,57.63,60.96,63.94,63.76
Entropy_Coreset,Entropy,Coreset,27.12,27.74,38.32,42.31,48.73,50.71,52.26,55.46,54.94,59.05,62.09
Entropy_Coreset,Entropy,Coreset,27.12,34.93,44.11,46.15,49.96,47.94,51.06,51.75,52.29,55.07,56.72
Entropy_Coreset,Entropy,Coreset,27.12,39.87,44.4,52.32,54.73,55.54,58.34,59.84,61.17,63.79,65.09
Margin_Coreset,Margin,Coreset,26.26,38.99,40.57,44.86,51.38,55.16,58.52,61.63,63.69,63.47,65.23
Margin_Coreset,Margin,Coreset,26.26,37.98,39.89,46.58,55.39,56.6,57.58,59.8,61.58,62.63,64.51
Margin_Coreset,Margin,Coreset,26.26,38.2,45.17,49.89,54.72,60.34,61.78,62.7,64.75,67.52,68.49
Margin_Coreset,Margin,Coreset,26.26,44.47,46.96,48.42,52.26,53.87,55.07,56.72,58.7,63.49,62.52
Margin_Coreset,Margin,Coreset,26.26,42.35,48.51,54.33,55.59,55.87,60.84,60.36,62.59,63.78,63.95
