Method,Init_Method,AL_Method,Episode,TestAccuracy
Easy-to-Learn_Random,Easy-to-Learn,Random,90,90.0
Easy-to-Learn_Random,Easy-to-Learn,Random,100,92.0
Easy-to-Learn_Random,Easy-to-Learn,Random,110,93.0
Consistency_Random,Consistency,Random,10,75.0
Consistency_Random,Consistency,Random,20,73.0
Consistency_Random,Consistency,Random,30,75.0
Consistency_Random,Consistency,Random,40,92.0
Consistency_Random,Consistency,Random,50,92.0
Consistency_Random,Consistency,Random,60,93.0
Consistency_Random,Consistency,Random,70,93.0
Consistency_Random,Consistency,Random,80,94.0
Consistency_Random,Consistency,Random,90,94.0
Consistency_Random,Consistency,Random,100,94.0
Consistency_Random,Consistency,Random,110,95.0
Consistency_Random,Consistency,Random,10,75.0
Consistency_Random,Consistency,Random,20,87.0
Consistency_Random,Consistency,Random,30,91.0
Consistency_Random,Consistency,Random,40,91.0
Consistency_Random,Consistency,Random,50,90.0
Consistency_Random,Consistency,Random,60,91.0
Consistency_Random,Consistency,Random,70,92.0
Consistency_Random,Consistency,Random,80,91.0
Consistency_Random,Consistency,Random,90,92.0
Consistency_Random,Consistency,Random,100,92.0
Consistency_Random,Consistency,Random,110,92.0
Consistency_Random,Consistency,Random,10,75.0
Consistency_Random,Consistency,Random,20,87.0
Consistency_Random,Consistency,Random,30,90.0
Consistency_Random,Consistency,Random,40,91.0
Consistency_Random,Consistency,Random,50,91.0
Consistency_Random,Consistency,Random,60,92.0
Consistency_Random,Consistency,Random,70,94.0
Consistency_Random,Consistency,Random,80,94.0
Consistency_Random,Consistency,Random,90,95.0
Consistency_Random,Consistency,Random,100,94.0
Consistency_Random,Consistency,Random,110,95.0
Consistency_Random,Consistency,Random,10,75.0
Consistency_Random,Consistency,Random,20,89.0
Consistency_Random,Consistency,Random,30,90.0
Consistency_Random,Consistency,Random,40,91.0
Consistency_Random,Consistency,Random,50,92.0
Consistency_Random,Consistency,Random,60,92.0
Consistency_Random,Consistency,Random,70,93.0
Consistency_Random,Consistency,Random,80,92.0
Consistency_Random,Consistency,Random,90,94.0
Consistency_Random,Consistency,Random,100,95.0
Consistency_Random,Consistency,Random,110,95.0
Consistency_Random,Consistency,Random,10,75.0
Consistency_Random,Consistency,Random,20,76.0
Consistency_Random,Consistency,Random,30,89.0
Consistency_Random,Consistency,Random,40,92.0
Consistency_Random,Consistency,Random,50,92.0
Consistency_Random,Consistency,Random,60,92.0
Consistency_Random,Consistency,Random,70,93.0
Consistency_Random,Consistency,Random,80,95.0
Consistency_Random,Consistency,Random,90,94.0
Consistency_Random,Consistency,Random,100,94.0
Consistency_Random,Consistency,Random,110,95.0
Entropy_Random,Entropy,Random,10,70.0
Entropy_Random,Entropy,Random,20,82.0
Entropy_Random,Entropy,Random,30,88.0
Entropy_Random,Entropy,Random,40,92.0
Entropy_Random,Entropy,Random,50,92.0
Entropy_Random,Entropy,Random,60,92.0
Entropy_Random,Entropy,Random,70,93.0
Entropy_Random,Entropy,Random,80,93.0
Entropy_Random,Entropy,Random,90,93.0
Entropy_Random,Entropy,Random,100,94.0
Entropy_Random,Entropy,Random,110,94.0
Entropy_Random,Entropy,Random,10,70.0
Entropy_Random,Entropy,Random,20,89.0
Entropy_Random,Entropy,Random,30,92.0
Entropy_Random,Entropy,Random,40,91.0
Entropy_Random,Entropy,Random,50,91.0
Entropy_Random,Entropy,Random,60,92.0
Entropy_Random,Entropy,Random,70,91.0
Entropy_Random,Entropy,Random,80,93.0
Entropy_Random,Entropy,Random,90,93.0
Entropy_Random,Entropy,Random,100,93.0
Entropy_Random,Entropy,Random,110,93.0
Entropy_Random,Entropy,Random,10,70.0
Entropy_Random,Entropy,Random,20,83.0
Entropy_Random,Entropy,Random,30,86.0
Entropy_Random,Entropy,Random,40,87.0
Entropy_Random,Entropy,Random,50,91.0
Entropy_Random,Entropy,Random,60,93.0
Entropy_Random,Entropy,Random,70,93.0
Entropy_Random,Entropy,Random,80,94.0
Entropy_Random,Entropy,Random,90,94.0
Entropy_Random,Entropy,Random,100,94.0
Entropy_Random,Entropy,Random,110,94.0
Entropy_Random,Entropy,Random,10,70.0
Entropy_Random,Entropy,Random,20,84.0
Entropy_Random,Entropy,Random,30,90.0
Entropy_Random,Entropy,Random,40,90.0
Entropy_Random,Entropy,Random,50,90.0
Entropy_Random,Entropy,Random,60,91.0
Entropy_Random,Entropy,Random,70,91.0
Entropy_Random,Entropy,Random,80,92.0
Entropy_Random,Entropy,Random,90,92.0
Entropy_Random,Entropy,Random,100,93.0
Entropy_Random,Entropy,Random,110,94.0
Entropy_Random,Entropy,Random,10,70.0
Entropy_Random,Entropy,Random,20,87.0
Entropy_Random,Entropy,Random,30,89.0
Entropy_Random,Entropy,Random,40,89.0
Entropy_Random,Entropy,Random,50,90.0
Entropy_Random,Entropy,Random,60,92.0
Entropy_Random,Entropy,Random,70,93.0
Entropy_Random,Entropy,Random,80,92.0
Entropy_Random,Entropy,Random,90,93.0
Entropy_Random,Entropy,Random,100,93.0
Entropy_Random,Entropy,Random,110,93.0
Margin_Random,Margin,Random,10,62.0
Margin_Random,Margin,Random,20,83.0
Margin_Random,Margin,Random,30,90.0
Margin_Random,Margin,Random,40,91.0
Margin_Random,Margin,Random,50,90.0
Margin_Random,Margin,Random,60,92.0
Margin_Random,Margin,Random,70,91.0
Margin_Random,Margin,Random,80,92.0
Margin_Random,Margin,Random,90,93.0
Margin_Random,Margin,Random,100,93.0
Margin_Random,Margin,Random,110,93.0
Margin_Random,Margin,Random,10,62.0
Margin_Random,Margin,Random,20,79.0
Margin_Random,Margin,Random,30,91.0
Margin_Random,Margin,Random,40,91.0
Margin_Random,Margin,Random,50,92.0
Margin_Random,Margin,Random,60,92.0
Margin_Random,Margin,Random,70,91.0
Margin_Random,Margin,Random,80,92.0
Margin_Random,Margin,Random,90,92.0
Margin_Random,Margin,Random,100,94.0
Margin_Random,Margin,Random,110,94.0
Margin_Random,Margin,Random,10,62.0
Margin_Random,Margin,Random,20,78.0
Margin_Random,Margin,Random,30,91.0
Margin_Random,Margin,Random,40,90.0
Margin_Random,Margin,Random,50,91.0
