Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_Coreset,BALD,Coreset,66.0,83.0,85.0,86.0,89.0,92.0,93.0,93.0,93.0,93.0,95.0
BALD_Coreset,BALD,Coreset,66.0,72.0,81.0,86.0,91.0,,,,,,
BALD_Coreset,BALD,Coreset,66.0,71.0,84.0,89.0,90.0,,,,,,
BALD_Coreset,BALD,Coreset,66.0,76.0,77.0,85.0,87.0,,,,,,
VAAL_Coreset,VAAL,Coreset,56.00000000000001,71.0,81.0,89.0,90.0,91.0,92.0,94.0,94.0,94.0,95.0
VAAL_Coreset,VAAL,Coreset,56.00000000000001,56.99999999999999,76.0,82.0,83.0,85.0,89.0,91.0,91.0,92.0,92.0
VAAL_Coreset,VAAL,Coreset,56.00000000000001,71.0,76.0,80.0,84.0,87.0,88.0,88.0,90.0,91.0,91.0
VAAL_Coreset,VAAL,Coreset,56.00000000000001,67.0,80.0,85.0,87.0,87.0,87.0,88.0,88.0,89.0,89.0
VAAL_Coreset,VAAL,Coreset,56.00000000000001,73.0,77.0,80.0,84.0,,,,,,
Coreset_Coreset,Coreset,Coreset,77.0,81.0,89.0,93.0,93.0,93.0,95.0,94.0,95.0,95.0,95.0
Coreset_Coreset,Coreset,Coreset,77.0,84.0,90.0,92.0,93.0,93.0,93.0,93.0,94.0,94.0,95.0
