Method,Init_Method,AL_Method,Episode,TestAccuracy
Consistency_Random,Consistency,Random,10,35.45
Consistency_Random,Consistency,Random,20,44.08
Consistency_Random,Consistency,Random,30,50.03
Consistency_Random,Consistency,Random,40,56.6
Consistency_Random,Consistency,Random,50,55.92
Consistency_Random,Consistency,Random,60,57.58
Consistency_Random,Consistency,Random,70,59.84
Consistency_Random,Consistency,Random,80,62.07
Consistency_Random,Consistency,Random,90,61.54
Consistency_Random,Consistency,Random,100,61.71
Consistency_Random,Consistency,Random,110,63.89
Entropy_Random,Entropy,Random,10,27.12
Entropy_Random,Entropy,Random,20,28.42
Entropy_Random,Entropy,Random,30,28.15
Entropy_Random,Entropy,Random,40,45.02
Entropy_Random,Entropy,Random,50,48.95
Entropy_Random,Entropy,Random,60,53.13
Entropy_Random,Entropy,Random,70,57.42
Entropy_Random,Entropy,Random,80,59.92
Entropy_Random,Entropy,Random,90,61.14
Entropy_Random,Entropy,Random,100,63.74
Entropy_Random,Entropy,Random,110,66.02
Entropy_Random,Entropy,Random,10,27.12
Entropy_Random,Entropy,Random,20,41.34
Entropy_Random,Entropy,Random,30,45.65
Entropy_Random,Entropy,Random,40,50.16
Entropy_Random,Entropy,Random,50,51.92
Entropy_Random,Entropy,Random,60,52.71
Entropy_Random,Entropy,Random,70,54.54
Entropy_Random,Entropy,Random,80,59.65
Entropy_Random,Entropy,Random,90,59.18
Entropy_Random,Entropy,Random,100,61.98
Entropy_Random,Entropy,Random,110,62.4
Entropy_Random,Entropy,Random,10,27.12
Entropy_Random,Entropy,Random,20,24.43
Entropy_Random,Entropy,Random,30,34.58
Entropy_Random,Entropy,Random,40,49.5
Entropy_Random,Entropy,Random,50,51.28
Entropy_Random,Entropy,Random,60,54.96
Entropy_Random,Entropy,Random,70,56.25
Entropy_Random,Entropy,Random,80,58.33
Entropy_Random,Entropy,Random,90,59.75
Entropy_Random,Entropy,Random,100,63.19
Entropy_Random,Entropy,Random,110,64.47
Entropy_Random,Entropy,Random,10,27.12
Entropy_Random,Entropy,Random,20,39.89
Entropy_Random,Entropy,Random,30,50.48
Entropy_Random,Entropy,Random,40,50.18
Entropy_Random,Entropy,Random,50,53.94
Entropy_Random,Entropy,Random,60,55.65
Entropy_Random,Entropy,Random,70,57.05
Entropy_Random,Entropy,Random,80,60.12
Entropy_Random,Entropy,Random,90,61.4
Entropy_Random,Entropy,Random,100,62.75
Entropy_Random,Entropy,Random,110,62.91
Entropy_Random,Entropy,Random,10,27.12
Entropy_Random,Entropy,Random,20,23.08
Entropy_Random,Entropy,Random,30,36.87
Entropy_Random,Entropy,Random,40,48.17
Entropy_Random,Entropy,Random,50,55.95
Entropy_Random,Entropy,Random,60,58.2
Entropy_Random,Entropy,Random,70,57.96
Entropy_Random,Entropy,Random,80,59.39
Entropy_Random,Entropy,Random,90,61.41
Entropy_Random,Entropy,Random,100,61.78
Entropy_Random,Entropy,Random,110,61.92
Margin_Random,Margin,Random,10,26.26
Margin_Random,Margin,Random,20,42.67
Margin_Random,Margin,Random,30,45.37
Margin_Random,Margin,Random,40,51.15
Margin_Random,Margin,Random,50,51.73
Margin_Random,Margin,Random,60,56.74
Margin_Random,Margin,Random,70,56.25
Margin_Random,Margin,Random,80,58.54
Margin_Random,Margin,Random,90,59.17
Margin_Random,Margin,Random,100,59.54
Margin_Random,Margin,Random,110,60.21
