Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
BALD_BALD,BALD,BALD,56.00000000000001,56.99999999999999,61.0,74.0,78.0,77.0,77.0,76.0,80.0,78.0,83.0
VAAL_BALD,VAAL,BALD,56.99999999999999,61.0,64.0,67.0,69.0,70.0,71.0,73.0,78.0,79.0,77.0
VAAL_BALD,VAAL,BALD,56.99999999999999,61.0,69.0,74.0,79.0,80.0,80.0,83.0,84.0,85.0,86.0
VAAL_BALD,VAAL,BALD,56.99999999999999,61.0,65.0,70.0,73.0,74.0,71.0,74.0,80.0,79.0,82.0
VAAL_BALD,VAAL,BALD,56.99999999999999,64.0,64.0,62.0,68.0,68.0,67.0,73.0,73.0,74.0,75.0
VAAL_BALD,VAAL,BALD,56.99999999999999,68.0,77.0,82.0,83.0,84.0,85.0,87.0,87.0,88.0,90.0
Coreset_BALD,Coreset,BALD,63.0,71.0,68.0,72.0,73.0,78.0,81.0,81.0,80.0,86.0,89.0
Coreset_BALD,Coreset,BALD,63.0,70.0,71.0,72.0,71.0,74.0,79.0,80.0,82.0,83.0,84.0
Coreset_BALD,Coreset,BALD,63.0,63.0,68.0,70.0,72.0,77.0,80.0,81.0,81.0,81.0,83.0
Coreset_BALD,Coreset,BALD,63.0,65.0,63.0,72.0,75.0,76.0,75.0,78.0,80.0,82.0,82.0
Coreset_BALD,Coreset,BALD,63.0,64.0,63.0,63.0,67.0,69.0,77.0,79.0,80.0,83.0,85.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,76.0,80.0,84.0,85.0,87.0,87.0,87.0,88.0,89.0,90.0,91.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,76.0,81.0,83.0,85.0,86.0,87.0,88.0,89.0,89.0,88.0,89.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,76.0,81.0,84.0,83.0,84.0,88.0,88.0,88.0,89.0,90.0,90.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,76.0,78.0,82.0,85.0,84.0,85.0,86.0,87.0,89.0,89.0,90.0
Hard-to-Contrast_Coreset,Hard-to-Contrast,Coreset,76.0,82.0,83.0,83.0,84.0,85.0,84.0,87.0,89.0,90.0,90.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,65.0,75.0,78.0,80.0,82.0,85.0,84.0,84.0,85.0,88.0,88.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,65.0,75.0,76.0,81.0,83.0,85.0,86.0,88.0,89.0,89.0,89.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,65.0,76.0,80.0,84.0,85.0,86.0,87.0,89.0,90.0,91.0,91.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,65.0,67.0,80.0,81.0,85.0,85.0,86.0,86.0,89.0,90.0,90.0
Easy-to-Contrast_Coreset,Easy-to-Contrast,Coreset,65.0,73.0,78.0,81.0,81.0,84.0,85.0,86.0,87.0,87.0,87.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,49.0,61.0,76.0,79.0,81.0,83.0,83.0,81.0,82.0,84.0,82.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,49.0,62.0,68.0,78.0,84.0,84.0,86.0,87.0,88.0,89.0,91.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,49.0,67.0,68.0,76.0,81.0,81.0,85.0,88.0,88.0,87.0,89.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,49.0,67.0,66.0,71.0,78.0,81.0,83.0,85.0,85.0,86.0,86.0
Easy-to-Learn_Coreset,Easy-to-Learn,Coreset,49.0,61.0,71.0,77.0,80.0,79.0,83.0,84.0,86.0,87.0,88.0
Consistency_Coreset,Consistency,Coreset,70.0,77.0,77.0,85.0,85.0,85.0,89.0,90.0,89.0,90.0,90.0
Consistency_Coreset,Consistency,Coreset,70.0,80.0,82.0,83.0,87.0,89.0,89.0,90.0,91.0,90.0,91.0
Consistency_Coreset,Consistency,Coreset,70.0,82.0,82.0,83.0,83.0,83.0,85.0,86.0,88.0,89.0,88.0
Consistency_Coreset,Consistency,Coreset,70.0,77.0,81.0,82.0,83.0,85.0,87.0,88.0,88.0,90.0,89.0
