Method,Init_Method,AL_Method,0,1,2,3,4,5,6,7,8,9,10
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,45.13,60.25,63.49,61.53,63.52,64.02,66.53,67.17,66.59,67.99,67.17
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,45.13,51.36,57.21,59.08,59.19,66.38,70.53,67.06,67.82,68.58,75.3
Easy-to-Contrast_BALD,Easy-to-Contrast,BALD,45.13,55.83,55.39,56.04,60.39,62.06,63.34,63.9,64.48,67.17,65.21
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.24,29.03,36.42,36.92,48.93,59.84,66.94,69.83,71.65,73.93,75.71
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.24,30.96,33.15,39.67,47.3,56.5,61.33,64.37,68.17,71.32,73.4
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.24,20.84,34.17,47.3,60.1,66.91,67.9,72.14,75.97,78.08,77.64
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.24,42.94,49.4,50.95,55.01,55.83,61.36,66.76,67.17,68.49,70.24
Easy-to-Learn_BALD,Easy-to-Learn,BALD,18.24,21.98,30.43,39.9,51.04,57.03,57.47,59.08,62.85,64.16,69.31
Consistency_BALD,Consistency,BALD,39.61,50.45,61.53,63.37,66.33,66.71,66.65,68.49,69.16,69.54,69.75
Consistency_BALD,Consistency,BALD,39.61,53.87,55.54,58.78,63.61,63.49,65.21,64.37,65.62,58.99,68.02
Consistency_BALD,Consistency,BALD,39.61,46.54,56.07,60.89,64.57,65.16,66.56,66.91,68.25,68.9,69.04
Consistency_BALD,Consistency,BALD,39.61,48.47,59.87,58.08,60.86,60.8,65.8,66.15,67.79,67.49,68.72
Consistency_BALD,Consistency,BALD,39.61,53.79,56.5,60.57,62.29,62.17,64.22,65.71,65.24,66.18,67.87
Entropy_BALD,Entropy,BALD,31.92,43.76,50.86,53.87,58.35,61.12,64.31,64.22,64.89,67.58,68.84
Entropy_BALD,Entropy,BALD,31.92,40.69,51.33,55.57,58.7,62.12,59.75,64.16,65.33,66.5,67.96
Entropy_BALD,Entropy,BALD,31.92,38.44,45.95,47.91,54.57,57.61,56.8,59.92,63.37,64.83,65.04
Entropy_BALD,Entropy,BALD,31.92,41.36,47.38,49.25,56.45,58.32,59.51,63.52,64.54,66.5,66.38
Entropy_BALD,Entropy,BALD,31.92,41.68,47.09,52.67,59.92,59.81,59.98,62.12,62.91,64.45,64.83
Margin_BALD,Margin,BALD,28.85,36.25,49.72,51.8,59.54,63.49,62.17,64.75,64.83,69.22,67.93
Margin_BALD,Margin,BALD,28.85,37.27,45.28,50.48,55.6,60.95,61.59,61.97,64.05,64.89,67.26
Margin_BALD,Margin,BALD,28.85,33.82,51.53,57.56,63.02,61.85,65.62,67.58,67.2,65.86,63.87
Margin_BALD,Margin,BALD,28.85,48.44,43.2,48.67,57.12,61.01,62.73,64.31,64.66,64.83,68.14
Margin_BALD,Margin,BALD,28.85,43.73,50.63,54.93,55.28,56.53,59.28,61.44,61.91,66.73,67.52
BALD_BALD,BALD,BALD,28.12,30.72,49.58,54.57,60.92,69.63,70.91,64.95,69.22,67.9,68.34
BALD_BALD,BALD,BALD,28.12,39.08,45.02,64.89,69.39,65.04,69.1,74.25,75.04,77.84,76.62
BALD_BALD,BALD,BALD,28.12,31.86,43.2,51.36,63.55,61.91,69.45,66.47,72.43,63.75,77.43
BALD_BALD,BALD,BALD,28.12,30.93,43.91,51.71,54.66,60.8,64.19,66.91,67.67,67.2,80.53
BALD_BALD,BALD,BALD,28.12,24.93,37.21,44.64,52.65,66.59,70.18,74.63,75.45,75.48,79.25
VAAL_BALD,VAAL,BALD,13.74,46.21,49.93,53.49,53.58,61.82,62.17,65.89,69.16,71.62,69.8
VAAL_BALD,VAAL,BALD,13.74,23.88,43.58,53.64,54.4,64.75,65.04,69.22,72.64,73.75,74.45
VAAL_BALD,VAAL,BALD,13.74,32.39,38.41,39.32,47.85,47.88,61.18,64.75,72.14,71.88,73.37
VAAL_BALD,VAAL,BALD,13.74,29.23,38.47,47.27,50.86,60.39,64.28,61.59,65.21,71.21,74.16
VAAL_BALD,VAAL,BALD,13.74,32.1,40.78,58.87,63.52,67.35,68.63,71.59,73.02,76.64,77.55
Coreset_BALD,Coreset,BALD,36.6,55.22,68.61,70.97,67.17,73.9,76.56,75.68,77.81,78.81,80.12
